state	stage	genotype	event_count	N_v	L_v
primary::APC+TP53	primary	APC+TP53	2	938	0.07389899944851493
unknown::WT	unknown	WT	0	819	0.06452375324982274
metastatic::APC+TP53	metastatic	APC+TP53	2	584	0.046009611596943195
primary::APC+KRAS+TP53	primary	APC+KRAS+TP53	3	580	0.045694477270936736
primary::TP53	primary	TP53	1	409	0.03222248483416056
metastatic::APC+KRAS+TP53	metastatic	APC+KRAS+TP53	3	389	0.03064681320412826
metastatic::TP53	metastatic	TP53	1	265	0.02087764909792799
primary::APC+KRAS	primary	APC+KRAS	2	215	0.01693847002284724
primary::KRAS+TP53	primary	KRAS+TP53	2	183	0.014417395414795557
metastatic::KRAS+TP53	metastatic	KRAS+TP53	2	175	0.013787126762782636
primary::WT	primary	WT	0	164	0.01292050736626487
primary::APC+KRAS+PIK3CA+TP53	primary	APC+KRAS+PIK3CA+TP53	4	155	0.012211455132750335
primary::APC+KRAS+PIK3CA	primary	APC+KRAS+PIK3CA	3	133	0.010478216339714803
primary::BRAF+TP53	primary	BRAF+TP53	2	129	0.010163082013708344
metastatic::WT	metastatic	WT	0	126	0.009926731269203497
primary::APC	primary	APC	1	122	0.009611596943197038
metastatic::APC+KRAS	metastatic	APC+KRAS	2	120	0.009454029780193808
primary::APC+KRAS+SMAD4+TP53	primary	APC+KRAS+SMAD4+TP53	4	117	0.009217679035688962
primary::APC+PIK3CA+TP53	primary	APC+PIK3CA+TP53	3	113	0.008902544709682502
primary::KRAS	primary	KRAS	1	108	0.008508626802174428
primary::APC+FBXW7+TP53	primary	APC+FBXW7+TP53	3	93	0.007326873079650201
primary::APC+FBXW7+KRAS+TP53	primary	APC+FBXW7+KRAS+TP53	4	87	0.0068541715906405105
metastatic::APC+KRAS+SMAD4+TP53	metastatic	APC+KRAS+SMAD4+TP53	4	77	0.00606633577562436
metastatic::APC+KRAS+PIK3CA	metastatic	APC+KRAS+PIK3CA	3	73	0.005751201449617899
metastatic::APC+KRAS+PIK3CA+TP53	metastatic	APC+KRAS+PIK3CA+TP53	4	69	0.005436067123611439
primary::APC+TCF7L2+TP53	primary	APC+TCF7L2+TP53	3	69	0.005436067123611439
metastatic::KRAS	metastatic	KRAS	1	65	0.005120932797604979
primary::BRAF	primary	BRAF	1	65	0.005120932797604979
primary::APC+SOX9+TP53	primary	APC+SOX9+TP53	3	64	0.0050421492161033645
metastatic::BRAF+TP53	metastatic	BRAF+TP53	2	62	0.004884582053100134
primary::KRAS+PIK3CA	primary	KRAS+PIK3CA	2	60	0.004727014890096904
primary::APC+KRAS+SOX9+TP53	primary	APC+KRAS+SOX9+TP53	4	59	0.004648231308595289
primary::APC+SMAD4+TP53	primary	APC+SMAD4+TP53	3	58	0.004569447727093673
primary::APC+NRAS+TP53	primary	APC+NRAS+TP53	3	57	0.0044906641455920585
metastatic::APC+SMAD4+TP53	metastatic	APC+SMAD4+TP53	3	56	0.004411880564090444
primary::APC+BRAF+TP53	primary	APC+BRAF+TP53	3	56	0.004411880564090444
primary::APC+KRAS+TCF7L2+TP53	primary	APC+KRAS+TCF7L2+TP53	4	53	0.004175529819585598
primary::KRAS+SMAD4+TP53	primary	KRAS+SMAD4+TP53	3	53	0.004175529819585598
primary::APC+ARID1A+TP53	primary	APC+ARID1A+TP53	3	50	0.003939179075080753
metastatic::APC+PIK3CA+TP53	metastatic	APC+PIK3CA+TP53	3	49	0.003860395493579138
primary::KRAS+PIK3CA+TP53	primary	KRAS+PIK3CA+TP53	3	49	0.003860395493579138
metastatic::APC	metastatic	APC	1	48	0.003781611912077523
primary::SMAD4+TP53	primary	SMAD4+TP53	2	48	0.003781611912077523
metastatic::APC+NRAS+TP53	metastatic	APC+NRAS+TP53	3	46	0.003624044749074293
primary::APC+KRAS+SMAD4	primary	APC+KRAS+SMAD4	3	44	0.0034664775860710627
metastatic::APC+FBXW7+KRAS+TP53	metastatic	APC+FBXW7+KRAS+TP53	4	43	0.003387694004569448
primary::BRAF+SMAD4+TP53	primary	BRAF+SMAD4+TP53	3	43	0.003387694004569448
metastatic::APC+SOX9+TP53	metastatic	APC+SOX9+TP53	3	42	0.0033089104230678325
metastatic::APC+TCF7L2+TP53	metastatic	APC+TCF7L2+TP53	3	42	0.0033089104230678325
