rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
1	metastatic::NRAS	metastatic	NRAS	1	10	0.0007878358150161507	9.81166967436128e-05	1	9.81166967436128e-05	0.0	metastatic::WT	0.009884089141005376	9.81166967436128e-05	rule_a_one_step	True	True	True	stable	True	8.029579400183566	7.337076880870344	2.875205402383357	True	relative_bottleneck	6.1550815059238335	2.683493302446496	11.468681289713153	0.228	0.544	500
2	primary::BRAF	primary	BRAF	1	65	0.005120932797604979	0.0007191564359688989	1	0.0007191564359688989	0.0	primary::WT	0.05566007708386118	0.0007191564359688989	rule_a_one_step	True	True	True	stable	True	7.120749442483879	6.506627994453167	2.7019100724189875	True	relative_bottleneck	5.518967638465764	4.143727890004671	7.23716231819933	0.066	0.998	500
3	primary::TP53	primary	TP53	1	409	0.03222248483416056	0.004700213313047413	1	0.004700213313047413	0.0	primary::WT	0.36377931452750495	0.004700213313047413	rule_a_one_step	True	True	True	stable	True	6.855536691889708	6.2642882349320095	2.6471505960165795	True	relative_bottleneck	5.359024848120752	4.464803131812242	6.7170035671215045	0.026	1.0	500
4	metastatic::TP53	metastatic	TP53	1	265	0.02087764909792799	0.0036111394966095974	1	0.0036111394966095974	0.0	metastatic::WT	0.36377931452750495	0.0036111394966095974	rule_a_one_step	True	True	True	stable	True	5.781457379796045	5.28284174860629	2.4013141935509896	True	relative_bottleneck	4.558723963423949	3.6175986541843614	5.746594125417904	0.004	0.968	500
5	metastatic::APC+TP53	metastatic	APC+TP53	2	584	0.046009611596943195	0.00871144819410613	2	0.00871144819410613	0.0	metastatic::TP53	0.2626090281665842	0.005482659140009833	rule_a_one_step	True	True	True	stable	True	5.281511244340547	4.826012934876999	2.2708317823290254	True	relative_bottleneck	4.178086802728112	3.5721953942957834	4.977687718806247	0.0	0.942	500
6	primary::KRAS	primary	KRAS	1	108	0.008508626802174428	0.0017034643530993048	1	0.0017034643530993048	0.0	primary::WT	0.13184190874322851	0.0017034643530993048	rule_a_one_step	True	True	True	stable	True	4.994895714547139	4.564116256042547	2.1903355400665485	True	relative_bottleneck	3.9242886668585486	3.082171500159967	5.069019040986452	0.0	0.716	500
7	primary::APC+SOX9	primary	APC+SOX9	2	17	0.001339320885527456	0.0002841630758192574	2	0.0002841630758192574	0.0	primary::APC	0.015436223288946616	0.00014836675657854621	rule_a_one_step	True	True	True	stable	True	4.7132122178538145	4.306726252368872	2.1065916247403966	True	relative_bottleneck	3.6339321001318448	1.8888162951385252	6.540423667673263	0.014	0.502	500
8	primary::APC+NRAS	primary	APC+NRAS	2	10	0.0007878358150161507	0.00017682336318844196	2	0.00017682336318844196	0.0	primary::NRAS	0.4008802963921234	0.00012633114201280183	rule_a_one_step	True	True	True	stable	True	4.455496131023433	4.071236614833394	2.0254670714230874	True	relative_bottleneck	3.6645170291873823	1.4174248604654627	9.520141316401851	0.058	0.414	500
9	primary::APC+TP53	primary	APC+TP53	2	938	0.07389899944851493	0.016668420939906156	2	0.016668420939906156	0.0	primary::TP53	0.2626090281665842	0.008461915427411404	rule_a_one_step	True	True	True	stable	True	4.433473315229194	4.051113133320541	2.0183183749778046	True	relative_bottleneck	3.494015904102913	3.043043928767222	4.066050103238057	0.0	0.406	500
10	metastatic::BRAF	metastatic	BRAF	1	28	0.002205940282045222	0.0005525226276346418	1	0.0005525226276346418	0.0	metastatic::WT	0.05566007708386118	0.0005525226276346418	rule_a_one_step	True	True	True	stable	True	3.9924885746243532	3.648160651770335	1.8671692619612918	True	relative_bottleneck	3.168962890173953	1.9232221485544858	4.577116461793429	0.0	0.268	500
11	metastatic::KRAS	metastatic	KRAS	1	65	0.005120932797604979	0.0013087591981128805	1	0.0013087591981128805	0.0	metastatic::WT	0.13184190874322851	0.0013087591981128805	rule_a_one_step	True	True	True	stable	True	3.912815131367263	3.575358559729553	1.8380879317942818	True	relative_bottleneck	3.0741261229797407	2.214117893307903	4.1351852946969485	0.0	0.168	500
12	primary::RNF43+SMAD4+TP53	primary	RNF43+SMAD4+TP53	3	11	0.0008666193965177657	0.0002249838282924972	2	0.0002249838282924972	0.0	primary::RNF43+TP53	0.07181142486222652	0.0001131512248676066	rule_a_one_step	True	True	True	stable	True	3.8519185989633518	3.519713983873476	1.815458198518123	True	relative_bottleneck	3.0356575515256328	1.2083179323933304	5.468271735002054	0.004	0.266	500
13	primary::APC+KRAS	primary	APC+KRAS	2	215	0.01693847002284724	0.004706763564027526	2	0.004706763564027526	0.0	primary::KRAS	0.4935438374274594	0.0041993803231832995	rule_a_one_step	True	True	True	stable	True	3.5987509864962117	3.2883805423764865	1.7173772621679357	True	relative_bottleneck	2.8298280660778294	2.295148739376551	3.538017530996303	0.0	0.042	500
